id,name,lat,long,dock_count,city,installation_date
4576,SE1 Head district,37.329732,-121.901782,,SE1 Head district,08/06/2013
5108,SE2 Abbey Wood,37.330698,-121.888979,,SE2 Abbey Wood,08/05/2013
6478,SE3 Blackheath,37.333988,-121.894902,,SE3 Blackheath,08/06/2013
20506,SE4 Brockley,37.331415,-121.8932,,SE4 Brockley,08/05/2013
21760,SE5 Camberwell,37.336721,-121.894074,,SE5 Camberwell,08/07/2013
21917,SE6 Catford,37.333798,-121.886943,,SE6 Catford,08/07/2013
22264,SE7 Charlton,37.330165,-121.885831,,SE7 Charlton,08/05/2013
26291,SE8 Deptford,37.348742,-121.894715,,SE8 Deptford,08/05/2013
28171,SE9 Eltham,37.337391,-121.886995,,SE9 Eltham,08/06/2013
29412,SE10 Greenwich,37.335885,-121.88566,,SE10 Greenwich,08/06/2013
29888,SE11 Kennington,37.332808,-121.883891,,SE11 Kennington,08/07/2013
30876,SE7 Charlton,37.339301,-121.889937,,SE7 Charlton,08/06/2013
32121,SE8 Deptford,37.332692,-121.900084,,SE8 Deptford,08/05/2013
32172,SE9 Eltham,37.333955,-121.877349,,SE9 Eltham,08/07/2013
33020,SE10 Greenwich,37.481758,-122.226904,,SE10 Greenwich,08/12/2013
35351,SE11 Kennington,37.486078,-122.232089,,SE11 Kennington,8/15/2013
36367,SE7 Charlton,37.487616,-122.229951,,SE7 Charlton,8/15/2013
38067,SE8 Deptford,37.484219,-122.227424,,SE8 Deptford,08/12/2013
38508,SE9 Eltham,37.48537,-122.203288,,SE9 Eltham,08/12/2013
56781,SE10 Greenwich,37.487682,-122.223492,,SE10 Greenwich,08/12/2013
57638,SE11 Kennington,37.389218,-122.081896,,SE11 Kennington,8/16/2013
59188,SE7 Charlton,37.394358,-122.076713,,SE7 Charlton,8/15/2013
60258,SE8 Deptford,37.40694,-122.106758,,SE8 Deptford,8/15/2013
61230,SE9 Eltham,37.390277,-122.066553,,SE9 Eltham,8/16/2013
62246,SE10 Greenwich,37.400443,-122.108338,,SE10 Greenwich,12/31/2013
62737,SE11 Kennington,37.385956,-122.083678,,SE11 Kennington,12/31/2013
63455,SE7 Charlton,37.400241,-122.099076,,SE7 Charlton,8/16/2013
65538,SE8 Deptford,37.443988,-122.164759,,SE8 Deptford,8/14/2013
68635,SE9 Eltham,37.444521,-122.163093,,SE9 Eltham,8/15/2013
69980,SE10 Greenwich,37.429082,-122.142805,,SE10 Greenwich,8/14/2013
